adressetekst,kommunenummer,kommunenavn,postnummer,poststed,lat,lon,epsg
Vestølveien 247,4211,GJERSTAD,4980,GJERSTAD,58.88631795230413,8.94235063059526,EPSG:4258
Vestølveien 248,4211,GJERSTAD,4980,GJERSTAD,58.883809228602445,8.952442281544482,EPSG:4258
Vestølveien 249,4211,GJERSTAD,4980,GJERSTAD,58.88655334452444,8.940577200501162,EPSG:4258
Vestølveien 25,4211,GJERSTAD,4980,GJERSTAD,58.892310964007855,8.98348128448045,EPSG:4258
Vestølveien 251,4211,GJERSTAD,4980,GJERSTAD,58.88592203572732,8.940668494997395,EPSG:4258
Vestølveien 253,4211,GJERSTAD,4980,GJERSTAD,58.88475745957874,8.947436136243002,EPSG:4258
Vestølveien 254,4211,GJERSTAD,4980,GJERSTAD,58.88427344069635,8.949813487601485,EPSG:4258
Vestølveien 255,4211,GJERSTAD,4980,GJERSTAD,58.885131527665024,8.94859614986596,EPSG:4258
Vestølveien 257,4211,GJERSTAD,4980,GJERSTAD,58.88477603974815,8.948980064148614,EPSG:4258
Vestølveien 259,4211,GJERSTAD,4980,GJERSTAD,58.88427518478772,8.943178039269114,EPSG:4258
Vestølveien 261,4211,GJERSTAD,4980,GJERSTAD,58.883822220289595,8.944481567693678,EPSG:4258
Vestølveien 263,4211,GJERSTAD,4980,GJERSTAD,58.884146011488404,8.94561557575763,EPSG:4258
Vestølveien 27,4211,GJERSTAD,4980,GJERSTAD,58.89199668651776,8.983880517364579,EPSG:4258
Vestølveien 274,4211,GJERSTAD,4980,GJERSTAD,58.88352964144825,8.94708932030405,EPSG:4258
Vestølveien 277,4211,GJERSTAD,4980,GJERSTAD,58.883472560389436,8.945876840368582,EPSG:4258
Vestølveien 286,4211,GJERSTAD,4980,GJERSTAD,58.88278068710967,8.945045273629228,EPSG:4258
